LineID,StartPointID,EndPointID,StartPointZ,EndPointZ
1,20,21,0.0,0.0
2,19,22,0.0,0.0
3,18,23,0.0,0.0
4,15,20,0.0,0.0
5,16,19,0.0,0.0
6,17,18,0.0,0.0
7,24,25,250.0,250.0
8,26,27,500.0,500.0
9,28,29,750.0,750.0
10,30,31,1000.0,1000.0
11,32,33,1250.0,1250.0
12,34,35,1500.0,1500.0
13,36,37,1750.0,1750.0
14,38,39,2000.0,2000.0
15,40,41,2250.0,2250.0
16,42,43,2500.0,2500.0
17,44,45,2750.0,2750.0
18,46,47,3000.0,3000.0
19,48,49,3250.0,3250.0
20,50,51,3500.0,3500.0
21,52,53,3750.0,3750.0
22,54,55,4000.0,4000.0
23,56,57,4250.0,4250.0
24,58,59,4500.0,4500.0
25,60,61,4750.0,4750.0
26,62,63,5000.0,5000.0
27,64,65,5250.0,5250.0
28,66,67,250.0,250.0
29,68,69,500.0,500.0
30,70,71,750.0,750.0
31,72,73,1000.0,1000.0
32,74,75,1250.0,1250.0
33,76,77,1500.0,1500.0
34,78,79,1750.0,1750.0
35,80,81,2000.0,2000.0
36,82,83,2250.0,2250.0
37,84,85,2500.0,2500.0
38,86,87,2750.0,2750.0
39,88,89,3000.0,3000.0
40,90,91,3250.0,3250.0
41,92,93,3500.0,3500.0
42,94,95,3750.0,3750.0
43,96,97,4000.0,4000.0
44,98,99,4250.0,4250.0
45,100,101,4500.0,4500.0
46,102,103,4750.0,4750.0
47,104,105,5000.0,5000.0
48,106,107,5250.0,5250.0
49,108,109,250.0,250.0
50,110,111,500.0,500.0
51,112,113,750.0,750.0
52,114,115,1000.0,1000.0
53,116,117,1250.0,1250.0
54,118,119,1500.0,1500.0
55,120,121,1750.0,1750.0
56,122,123,2000.0,2000.0
57,124,125,2250.0,2250.0
58,126,127,2500.0,2500.0
59,128,129,2750.0,2750.0
60,130,131,3000.0,3000.0
61,132,133,3250.0,3250.0
62,134,135,3500.0,3500.0
63,136,137,3750.0,3750.0
64,138,139,4000.0,4000.0
65,140,141,4250.0,4250.0
66,142,143,4500.0,4500.0
67,144,145,4750.0,4750.0
68,146,147,5000.0,5000.0
69,148,149,5250.0,5250.0
70,21,150,0.0,0.0
71,22,152,0.0,0.0
72,23,154,0.0,0.0
73,151,153,0.0,0.0
74,153,155,0.0,0.0
75,155,156,0.0,0.0
76,156,157,0.0,0.0
77,157,158,0.0,0.0
78,150,151,0.0,0.0
79,152,153,0.0,0.0
80,154,155,0.0,0.0
81,175,176,800.0,800.0
82,177,178,1600.0,1600.0
83,179,180,800.0,800.0
84,181,182,1600.0,1600.0
85,183,184,800.0,800.0
86,185,186,1600.0,1600.0
87,189,190,800.0,800.0
88,191,192,1600.0,1600.0
89,195,196,800.0,800.0
90,197,198,1600.0,1600.0
91,199,200,800.0,800.0
92,201,202,1600.0,1600.0
93,203,204,800.0,800.0
94,205,206,1600.0,1600.0
95,209,210,800.0,800.0
96,211,212,1600.0,1600.0
97,213,214,800.0,800.0
98,215,216,1600.0,1600.0
99,219,220,800.0,800.0
100,221,222,1600.0,1600.0
101,223,224,800.0,800.0
102,225,226,1600.0,1600.0
