ID,X,Y,Z
14,107416.22,43191.33,0.0
15,85827.39,51782.42,0.0
16,87390.53,53329.22,0.0
17,88848.17,54816.66,0.0
18,99478.9,44009.41,0.0
19,97927.05,42484.53,0.0
20,96364.45,40981.84,0.0
21,98150.31,39128.99,0.0
22,99685.82,40670.61,0.0
23,101220.92,42179.15,0.0
24,85827.39,51782.42,250.0
25,96364.45,40981.84,250.0
26,85827.39,51782.42,500.0
27,96364.45,40981.84,500.0
28,85827.39,51782.42,750.0
29,96364.45,40981.84,750.0
30,85827.39,51782.42,1000.0
31,96364.45,40981.84,1000.0
32,85827.39,51782.42,1250.0
33,96364.45,40981.84,1250.0
34,85827.39,51782.42,1500.0
35,96364.45,40981.84,1500.0
36,85827.39,51782.42,1750.0
37,96364.45,40981.84,1750.0
38,85827.39,51782.42,2000.0
39,96364.45,40981.84,2000.0
40,85827.39,51782.42,2250.0
41,96364.45,40981.84,2250.0
42,85827.39,51782.42,2500.0
43,96364.45,40981.84,2500.0
44,85827.39,51782.42,2750.0
45,96364.45,40981.84,2750.0
46,85827.39,51782.42,3000.0
47,96364.45,40981.84,3000.0
48,85827.39,51782.42,3250.0
49,96364.45,40981.84,3250.0
50,85827.39,51782.42,3500.0
51,96364.45,40981.84,3500.0
52,85827.39,51782.42,3750.0
53,96364.45,40981.84,3750.0
54,85827.39,51782.42,4000.0
55,96364.45,40981.84,4000.0
56,85827.39,51782.42,4250.0
57,96364.45,40981.84,4250.0
58,85827.39,51782.42,4500.0
59,96364.45,40981.84,4500.0
60,85827.39,51782.42,4750.0
61,96364.45,40981.84,4750.0
62,85827.39,51782.42,5000.0
63,96364.45,40981.84,5000.0
64,85827.39,51782.42,5250.0
65,96364.45,40981.84,5250.0
66,87390.53,53329.22,250.0
67,97927.05,42484.53,250.0
68,87390.53,53329.22,500.0
69,97927.05,42484.53,500.0
70,87390.53,53329.22,750.0
71,97927.05,42484.53,750.0
72,87390.53,53329.22,1000.0
73,97927.05,42484.53,1000.0
74,87390.53,53329.22,1250.0
75,97927.05,42484.53,1250.0
76,87390.53,53329.22,1500.0
77,97927.05,42484.53,1500.0
78,87390.53,53329.22,1750.0
79,97927.05,42484.53,1750.0
80,87390.53,53329.22,2000.0
81,97927.05,42484.53,2000.0
82,87390.53,53329.22,2250.0
83,97927.05,42484.53,2250.0
84,87390.53,53329.22,2500.0
85,97927.05,42484.53,2500.0
86,87390.53,53329.22,2750.0
87,97927.05,42484.53,2750.0
88,87390.53,53329.22,3000.0
89,97927.05,42484.53,3000.0
90,87390.53,53329.22,3250.0
91,97927.05,42484.53,3250.0
92,87390.53,53329.22,3500.0
93,97927.05,42484.53,3500.0
94,87390.53,53329.22,3750.0
95,97927.05,42484.53,3750.0
96,87390.53,53329.22,4000.0
97,97927.05,42484.53,4000.0
98,87390.53,53329.22,4250.0
99,97927.05,42484.53,4250.0
100,87390.53,53329.22,4500.0
101,97927.05,42484.53,4500.0
102,87390.53,53329.22,4750.0
103,97927.05,42484.53,4750.0
104,87390.53,53329.22,5000.0
105,97927.05,42484.53,5000.0
106,87390.53,53329.22,5250.0
107,97927.05,42484.53,5250.0
108,88848.17,54816.66,250.0
109,99478.9,44009.41,250.0
110,88848.17,54816.66,500.0
111,99478.9,44009.41,500.0
112,88848.17,54816.66,750.0
113,99478.9,44009.41,750.0
114,88848.17,54816.66,1000.0
115,99478.9,44009.41,1000.0
116,88848.17,54816.66,1250.0
117,99478.9,44009.41,1250.0
