LineID,StartPointID,EndPointID,StartPointZ,EndPointZ
1,1,4,570,570
2,2,5,570,570
3,3,6,570,570
4,7,10,0.0,0
5,8,11,0.0,0
6,9,12,0.0,0
7,13,14,920.0,920.0
8,15,16,1270.0,1270.0
9,17,18,1620.0,1620.0
10,19,20,1970.0,1970.0
11,21,22,2620.0,2620.0
12,23,24,2970.0,2970.0
13,25,26,3320.0,3320.0
14,27,28,3670.0,3670.0
15,29,30,4020.0,4020.0
16,31,32,4370.0,4370.0
17,33,34,5020.0,5020.0
18,35,36,5445.0,5445.0
19,37,38,5870.0,5870.0
20,39,40,6295.0,6295.0
21,41,42,6720.0,6720.0
22,43,44,7370.0,7370.0
23,45,46,7795.0,7795.0
24,47,48,8220.0,8220.0
25,49,50,8645.0,8645.0
26,51,52,9070.0,9070.0
27,53,54,9700.0,9700.0
28,55,56,920.0,920.0
29,57,58,1270.0,1270.0
30,59,60,1620.0,1620.0
31,61,62,1970.0,1970.0
32,63,64,2620.0,2620.0
33,65,66,2970.0,2970.0
34,67,68,3320.0,3320.0
35,69,70,3670.0,3670.0
36,71,72,4020.0,4020.0
37,73,74,4370.0,4370.0
38,75,76,5020.0,5020.0
39,77,78,5445.0,5445.0
40,79,80,5870.0,5870.0
41,81,82,6295.0,6295.0
42,83,84,6720.0,6720.0
43,85,86,7370.0,7370.0
44,87,88,7795.0,7795.0
45,89,90,8220.0,8220.0
46,91,92,8645.0,8645.0
47,93,94,9070.0,9070.0
48,95,96,9700.0,9700.0
49,97,98,920.0,920.0
50,99,100,1270.0,1270.0
51,101,102,1620.0,1620.0
52,103,104,1970.0,1970.0
53,105,106,2620.0,2620.0
54,107,108,2970.0,2970.0
55,109,110,3320.0,3320.0
56,111,112,3670.0,3670.0
57,113,114,4020.0,4020.0
58,115,116,4370.0,4370.0
59,117,118,5020.0,5020.0
60,119,120,5445.0,5445.0
61,121,122,5870.0,5870.0
62,123,124,6295.0,6295.0
63,125,126,6720.0,6720.0
64,127,128,7370.0,7370.0
65,129,130,7795.0,7795.0
66,131,132,8220.0,8220.0
67,133,134,8645.0,8645.0
68,135,136,9070.0,9070.0
69,137,138,9700.0,9700.0
70,139,142,1000.0,1000
71,140,144,1000.0,1000
73,146,146,1000,1000
74,141,146,1000.0,1000
75,143,145,1000,1000
76,145,147,1000,1000
77,147,148,1000,1000
78,149,150,1000,1000
79,142,143,1000,1000
80,144,145,1000,1000
81,146,147,1000,1000
82,148,149,1000,1000
83,167,168,1800.0,1800.0
84,169,170,1800.0,1800.0
85,171,172,1800.0,1800.0
86,173,174,1800.0,1800.0
87,174,176,1800.0,1800.0
88,176,178,1800.0,1800.0
89,179,180,1800.0,1800.0
94,172,173,1800.0,1800.0
95,168,174,1800.0,1800.0
96,170,176,1800.0,1800.0
97,178,179,1800.0,1800.0
