ID,X,Y,Z
1,85642,570,52006
2,87219,570,53511
3,88762,570,55006
4,96373,570,40961
5,97939,570,42477
6,99460,570,43994
7,96373,0,40961
8,97939,0,42477
9,99460,0,43994
10,98217,0,39125
11,99707,0,40707
12,101211,0,42231
13,85642,920,52006
14,96373,920,40961
15,85642,1270,52006
16,96373,1270,40961
17,85642,1620,52006
18,96373,1620,40961
19,85642,1970,52006
20,96373,1970,40961
21,85642,2620,52006
22,96373,2620,40961
23,85642,2970,52006
24,96373,2970,40961
25,85642,3320,52006
26,96373,3320,40961
27,85642,3670,52006
28,96373,3670,40961
29,85642,4020,52006
30,96373,4020,40961
31,85642,4370,52006
32,96373,4370,40961
33,85642,5020,52006
34,96373,5020,40961
35,85642,5445,52006
36,96373,5445,40961
37,85642,5870,52006
38,96373,5870,40961
39,85642,6295,52006
40,96373,6295,40961
41,85642,6720,52006
42,96373,6720,40961
43,85642,7370,52006
44,96373,7370,40961
45,85642,7795,52006
46,96373,7795,40961
47,85642,8220,52006
48,96373,8220,40961
49,85642,8645,52006
50,96373,8645,40961
51,85642,9070,52006
52,96373,9070,40961
53,85642,9700,52006
54,96373,9700,40961
55,87219,920,53511
56,97939,920,42477
57,87219,1270,53511
58,97939,1270,42477
59,87219,1620,53511
60,97939,1620,42477
61,87219,1970,53511
62,97939,1970,42477
63,87219,2620,53511
64,97939,2620,42477
65,87219,2970,53511
66,97939,2970,42477
67,87219,3320,53511
68,97939,3320,42477
69,87219,3670,53511
70,97939,3670,42477
71,87219,4020,53511
72,97939,4020,42477
73,87219,4370,53511
74,97939,4370,42477
75,87219,5020,53511
76,97939,5020,42477
77,87219,5445,53511
78,97939,5445,42477
79,87219,5870,53511
80,97939,5870,42477
81,87219,6295,53511
82,97939,6295,42477
83,87219,6720,53511
84,97939,6720,42477
85,87219,7370,53511
86,97939,7370,42477
87,87219,7795,53511
88,97939,7795,42477
89,87219,8220,53511
90,97939,8220,42477
91,87219,8645,53511
92,97939,8645,42477
93,87219,9070,53511
94,97939,9070,42477
95,87219,9700,53511
96,97939,9700,42477
97,88762,920,55006
98,99460,920,43994
99,88762,1270,55006
100,99460,1270,43994
101,88762,1620,55006
102,99460,1620,43994
103,88762,1970,55006
104,99460,1970,43994
105,88762,2620,55006
106,99460,2620,43994
107,88762,2970,55006
108,99460,2970,43994
109,88762,3320,55006
110,99460,3320,43994
111,88762,3670,55006
112,99460,3670,43994
113,88762,4020,55006
114,99460,4020,43994
115,88762,4370,55006
116,99460,4370,43994
117,88762,5020,55006
118,99460,5020,43994
119,88762,5445,55006
120,99460,5445,43994
121,88762,5870,55006
122,99460,5870,43994
123,88762,6295,55006
124,99460,6295,43994
125,88762,6720,55006
126,99460,6720,43994
127,88762,7370,55006
128,99460,7370,43994
129,88762,7795,55006
130,99460,7795,43994
131,88762,8220,55006
132,99460,8220,43994
133,88762,8645,55006
134,99460,8645,43994
135,88762,9070,55006
136,99460,9070,43994
137,88762,9700,55006
138,99460,9700,43994
139,98217,1000,39125
140,99707,1000,40707
141,101211,1000,42231
142,99903,1000,37397
143,101346,1000,37444
144,101372,1000,39043
145,103023,1000,39080
146,102883,1000,40545
147,104541,1000,40575
148,105652,1000,41673
149,105626,1000,43023
150,93915,1000,55041
151,100170,1000,37227
152,100475,1000,37144
153,100791,1000,37154
154,101090,1000,37257
155,101675,1000,38842
156,102023,1000,38740
157,102386,1000,38748
158,102730,1000,38865
159,103177,1000,40313
160,103532,1000,40194
161,103906,1000,40200
162,104256,1000,40333
163,105806,1000,41923
164,105883,1000,42206
165,105877,1000,42499
166,105789,1000,42779
167,99707,1800,40707
168,101372,1800,39043
169,101211,1800,42231
170,102883,1800,40545
171,98217,1800,39125
172,99903,1800,37397
173,101346,1800,37444
174,103023,1800,39080
176,104541,1800,40575
178,105652,1800,41673
179,105626,1800,43023
180,93915,1800,55041
210,100170,1800,37227
211,100475,1800,37144
212,100791,1800,37154
213,101090,1800,37257
214,101675,1800,38842
215,102023,1800,38740
216,102386,1800,38748
217,102730,1800,38865
218,103177,1800,40313
219,103532,1800,40194
220,103906,1800,40200
221,104256,1800,40333
222,105806,1800,41923
223,105883,1800,42206
224,105877,1800,42499
225,105789,1800,42779
