ID,X,Y,Z
46,85241.93,52082.56,187
47,96208.64,40696.25,187
48,85241.93,52082.56,250.0
49,96208.64,40696.25,250.0
50,85241.93,52082.56,500.0
51,96208.64,40696.25,500.0
52,85241.93,52082.56,750.0
53,96208.64,40696.25,750.0
54,85241.93,52082.56,1000.0
55,96208.64,40696.25,1000.0
56,85241.93,52082.56,1250.0
57,96208.64,40696.25,1250.0
58,85241.93,52082.56,1500.0
59,96208.64,40696.25,1500.0
60,85241.93,52082.56,1820.0
61,96208.64,40696.25,1820.0
62,85241.93,52082.56,2070.0
63,96208.64,40696.25,2070.0
64,85241.93,52082.56,2320.0
65,96208.64,40696.25,2320.0
66,85241.93,52082.56,2570.0
67,96208.64,40696.25,2570.0
68,85241.93,52082.56,2820.0
69,96208.64,40696.25,2820.0
70,85241.93,52082.56,3070.0
71,96208.64,40696.25,3070.0
72,85241.93,52082.56,3320.0
73,96208.64,40696.25,3320.0
74,99928.17,37407.27,800
75,101305.43,37390.26,800
76,100174.95,37232.72,800
77,100462.45,37139.36,800
78,100764.7,37135.63,800
79,101054.41,37221.86,800
