ID,X,Y,Z
1,85666,570,51941
2,87244,570,53419
3,88765,570,54929
4,96386,570,40971
5,97933,570,42454
6,99481,570,43955
7,98134,0,39168
8,99654,0,40651
9,101203,0,42129
10,96386,0,40971
11,97933,0,42454
12,99481,0,43955
13,85666,920,51941
14,96386,920,40971
15,85666,1270,51941
16,96386,1270,40971
17,85666,1620,51941
18,96386,1620,40971
19,85666,1970,51941
20,96386,1970,40971
21,85666,2620,51941
22,96386,2620,40971
23,85666,2970,51941
24,96386,2970,40971
25,85666,3320,51941
26,96386,3320,40971
27,85666,3670,51941
28,96386,3670,40971
29,85666,4020,51941
30,96386,4020,40971
31,85666,4370,51941
32,96386,4370,40971
33,85666,5020,51941
34,96386,5020,40971
35,85666,5445,51941
36,96386,5445,40971
37,85666,5870,51941
38,96386,5870,40971
39,85666,6295,51941
40,96386,6295,40971
41,85666,6720,51941
42,96386,6720,40971
43,85666,7370,51941
44,96386,7370,40971
45,85666,7795,51941
46,96386,7795,40971
47,85666,8220,51941
48,96386,8220,40971
49,85666,8645,51941
50,96386,8645,40971
51,85666,9070,51941
52,96386,9070,40971
53,85666,9700,51941
54,96386,9700,40971
55,87244,920,53419
56,97933,920,42454
57,87244,1270,53419
58,97933,1270,42454
59,87244,1620,53419
60,97933,1620,42454
61,87244,1970,53419
62,97933,1970,42454
63,87244,2620,53419
64,97933,2620,42454
65,87244,2970,53419
66,97933,2970,42454
67,87244,3320,53419
68,97933,3320,42454
69,87244,3670,53419
70,97933,3670,42454
71,87244,4020,53419
72,97933,4020,42454
73,87244,4370,53419
74,97933,4370,42454
75,87244,5020,53419
76,97933,5020,42454
77,87244,5445,53419
78,97933,5445,42454
79,87244,5870,53419
80,97933,5870,42454
81,87244,6295,53419
82,97933,6295,42454
83,87244,6720,53419
84,97933,6720,42454
85,87244,7370,53419
86,97933,7370,42454
87,87244,7795,53419
88,97933,7795,42454
89,87244,8220,53419
90,97933,8220,42454
91,87244,8645,53419
92,97933,8645,42454
93,87244,9070,53419
94,97933,9070,42454
95,87244,9700,53419
96,97933,9700,42454
97,88765,920,54929
98,99481,920,43955
99,88765,1270,54929
100,99481,1270,43955
101,88765,1620,54929
102,99481,1620,43955
103,88765,1970,54929
104,99481,1970,43955
105,88765,2620,54929
106,99481,2620,43955
107,88765,2970,54929
108,99481,2970,43955
109,88765,3320,54929
110,99481,3320,43955
111,88765,3670,54929
112,99481,3670,43955
113,88765,4020,54929
114,99481,4020,43955
115,88765,4370,54929
116,99481,4370,43955
117,88765,5020,54929
118,99481,5020,43955
119,88765,5445,54929
120,99481,5445,43955
121,88765,5870,54929
122,99481,5870,43955
123,88765,6295,54929
124,99481,6295,43955
125,88765,6720,54929
126,99481,6720,43955
127,88765,7370,54929
128,99481,7370,43955
129,88765,7795,54929
130,99481,7795,43955
131,88765,8220,54929
132,99481,8220,43955
133,88765,8645,54929
134,99481,8645,43955
135,88765,9070,54929
136,99481,9070,43955
137,88765,9700,54929
138,99481,9700,43955
139,98134,1000,39168
140,98134,1800,39168
141,99654,1000,40651
142,99654,1800,40651
143,101203,1000,42129
144,101203,1800,42129
145,99878,1000,37426
146,101306,1000,37380
147,101332,1000,38988
148,102861,1000,38908
149,102875,1000,40483
150,104381,1000,40391
151,105669,1000,41636
152,105625,1000,43044
153,93974,1000,54986
154,92961,0,56002
155,93974,0,54986
156,100134,1000,37250
157,100429,1000,37153
158,100739,1000,37143
159,101040,1000,37221
160,101609,1000,38814
161,101920,1000,38716
162,102247,1000,38698
163,102567,1000,38764
164,103149,1000,40317
165,103455,1000,40222
166,103774,1000,40202
167,104089,1000,40260
168,105818,1000,41901
169,105891,1000,42196
170,105881,1000,42499
171,105790,1000,42789
172,99878,1800,37426
173,100134,1800,37250
174,100429,1800,37153
175,100739,1800,37143
176,101040,1800,37221
177,101306,1800,37380
180,101332,1800,38988
181,101609,1800,38814
182,101920,1800,38716
183,102247,1800,38698
184,102567,1800,38764
185,102861,1800,38908
188,102875,1800,40483
189,103149,1800,40317
190,103455,1800,40222
191,103774,1800,40202
192,104089,1800,40260
193,104381,1800,40391
196,105669,1800,41636
197,105818,1800,41901
198,105891,1800,42196
199,105881,1800,42499
200,105790,1800,42789
201,105625,1800,43044
217,93974,1800,54986
