ID,X,Y,Z
1,85591.58,52037.02,0.0
2,87212.74,53469.8,0.0
3,88759.77,55000.35,0.0
4,96462.98,40893.74,0.0
5,97977.6,42413.93,0.0
6,99567.14,43900.91,0.0
7,98203.7,39111.66,0.0
8,99915.95,37376.21,0.0
10,99771.94,40616.12,0.0
11,101311.4,42143.54,0.0
12,101426.88,38945.95,0.0
13,102953.19,40454.15,0.0
14,101323.66,37384.65,0.0
15,102934.77,38962.84,0.0
16,104519.91,40528.43,0.0
17,105643.72,41599.31,0.0
18,105626.19,43055.56,0.0
19,94110.4,55088.16,0.0
20,93096.43,56114.41,0.0
21,100178.21,37226.71,0.0
22,100470.24,37150.25,0.0
23,100772.11,37152.06,0.0
24,101063.21,37232.01,0.0
25,101704.33,38771.13,0.0
26,102019.9,38681.92,0.0
27,102347.81,38685.59,0.0
28,102661.3,38781.85,0.0
29,103249.03,40286.55,0.0
30,103579.79,40207.69,0.0
31,103919.43,40223.79,0.0
32,104241.24,40333.59,0.0
33,105838.13,41859.65,0.0
34,105938.71,42168.62,0.0
35,105934.8,42493.52,0.0
36,105826.82,42799.97,0.0
